SMPLID,Habitat,Individual,Dataset,Acc.no,total input read (pairs),Rejected 1st read pair,Rejected 2nd read pair,Accepted 1st read pair,Accepted 2nd read pair,Singleton 1st read pair,Singleton 2nd read pair,Avg read length,AvgQual read quality (if quality information available),average accumulated Error,Latitude,Longitude,Date when the sample was collected.
G3059,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,898052,26736,274061,871316,623991,249866,2541,238,35.4,0.911,13.52,75.02,1/15/13
G3060,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,17462484,2098352,5531233,15364132,11931251,3981464,548583,242,36.3,0.729,13.45,75.02,1/15/13
G3242,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1353921,174093,524927,1179828,828994,379774,28940,241,36.3,0.762,59.49,25.36,6/15/13
G3308,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,959782,128745,388726,831037,571056,281669,21688,240,36.1,0.777,58.30,21.94,7/4/13
G3318,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1069921,135572,250805,934349,819116,165681,50448,241,36.3,0.761,58.28,22.46,7/4/13
G3426,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1030394,135215,271144,895179,759250,179913,43984,240,36.2,0.769,58.35,25.55,9/18/13
G3429,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1058092,28892,137459,1029200,920633,114844,6277,239,35.6,0.892,58.47,22.82,9/19/13
G3484,Grasslands_and_shrublands,-,Global_soil,ENA_ERP020652,16751748,2037873,5461407,14713875,11290341,3925913,502379,242,36.3,0.736,36.78,12.01,11/17/13
G3487,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1261314,168509,314089,1092805,947225,204946,59366,240,36.1,0.776,36.82,12.01,11/19/13
G3504,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1073002,142565,267894,930437,805108,175368,50039,240,36.2,0.775,36.78,12.01,11/22/13
S001,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,967416,65906,316047,901510,651369,253647,3506,237,35.3,0.876,-25.06,46.87,3/14/10
S004,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,699167,119203,302123,579964,397044,200829,17909,236,35.7,0.737,-24.95,47.00,3/12/10
S005,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,2082511,271641,782683,1810870,1299828,561789,50747,241,36.2,0.733,-24.95,47.00,3/20/10
S006,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,4757324,667423,1693894,4089901,3063430,1145889,119418,239,36.2,0.657,-18.92,47.92,3/23/10
S103,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,1250766,176490,370425,1074276,880341,245247,51312,239,36.0,0.78,30.32,119.44,9/18/12
S107,Boreal_forests,-,Global_soil,ENA_ERP020652,21613183,2550006,6344127,19063177,15269056,4469195,675074,17.6,36.4,0.69,42.06,128.26,10/1/12
S108,Boreal_forests,-,Global_soil,ENA_ERP020652,10466475,1134218,2624971,9332257,7841504,1852881,362128,244,36.6,0.697,42.03,128.43,10/1/12
S010,Savannas,-,Global_soil,ENA_ERP020652,3761962,484912,1079944,3277050,2682018,725579,130547,242,36.3,0.716,-22.57,45.36,3/6/10
S110,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,16907450,1785363,4266540,15122087,12640910,3062614,581437,244,36.6,0.696,39.97,115.43,10/1/12
S160,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,1059407,53315,211207,1006092,848200,164057,6165,237,35.3,0.878,48.95,-57.93,11/8/12
S111,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1051863,30791,182854,1021072,869009,157678,5615,238,35.4,0.912,39.96,115.43,10/1/12
S114,Boreal_forests,-,Global_soil,ENA_ERP020652,1093993,67316,219265,1026677,874728,159119,7170,236,35.2,0.863,49.02,13.48,10/20/11
S120,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,22267109,751596,2726910,21515513,19540199,2071643,96329,41.8,36.1,0.722,57.01,-3.47,8/1/12
S121,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1139588,38672,167324,1100916,972264,135429,6777,238,35.6,0.874,50.14,8.27,8/21/12
S122,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1023121,142729,300419,880392,722702,199737,42047,239,36.0,0.779,37.91,14.66,10/2/12
S125,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1140195,32943,186768,1107252,953427,159845,6020,239,35.5,0.901,37.86,14.04,7/20/12
S128,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,813824,113168,247769,700656,566055,166566,31965,239,36.0,0.783,38.02,14.04,4/10/12
S129,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,960365,31031,356648,929334,603717,327703,2086,237,35.3,0.912,37.90,14.00,4/3/12
S012,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,626768,50878,133740,575890,493028,87337,4475,236,35.3,0.867,-24.78,47.17,3/15/10
S131,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,6447330,735053,1681448,5712277,4765882,1178663,232268,243,36.5,0.712,51.91,39.46,5/8/12
S137,Boreal_forests,-,Global_soil,ENA_ERP020652,7597421,913554,1955121,6683867,5642300,1316305,274738,241,36.4,0.679,57.10,53.16,6/25/12
S139,Mediterrean,-,Global_soil,ENA_ERP020652,766413,31945,137608,734468,628805,109768,4105,237,35.4,0.888,38.47,-9.00,6/15/12
S140,Mediterrean,-,Global_soil,ENA_ERP020652,595468,101450,188574,494018,406894,114290,27166,237,35.7,0.784,38.79,-9.42,6/16/12
S141,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,982487,140122,488359,842365,494128,363751,15514,239,35.9,0.78,36.21,52.82,12/1/12
S142,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,2498025,498830,875922,1999195,1622103,475861,98769,235,35.7,0.682,8.76,-82.22,2/12/12
S143,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1133313,164757,549644,968556,583669,404692,19805,238,35.9,0.788,8.49,-82.43,2/12/12
S148,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1159568,177252,341578,982316,817990,213344,49018,238,35.9,0.739,8.76,-82.27,4/18/12
S149,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,1267868,44867,251595,1223001,1016273,214043,7315,237,35.3,0.919,37.81,-119.89,8/1/12
S150,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,968661,35878,382257,932783,586404,348723,2344,237,35.2,0.921,37.85,-120.58,8/1/12
S159,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1172372,50477,215665,1121895,956707,172175,6987,237,35.3,0.897,48.99,-57.79,11/3/12
S162,Arctic_tundra,-,Global_soil,ENA_ERP020652,874761,127777,416989,746984,457772,304268,15056,239,36.0,0.778,68.62,-149.60,8/2/12
S165,Tropical_montane_forests,-,Global_soil,ENA_ERP020652,782134,121748,259035,660386,523099,170287,33000,237,35.7,0.791,22.20,-102.60,5/1/12
S168,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1093062,79395,231345,1013667,861717,159258,7308,235,35.3,0.802,-43.18,172.22,3/1/12
S169,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1333614,200568,556800,1133046,776814,382356,26124,238,36.0,0.723,-42.76,171.69,3/1/12
S171,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1558694,341139,626886,1217555,931808,337092,51345,231,35.3,0.634,-42.30,172.10,3/1/12
S174,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,591593,92635,199548,498958,392045,130610,23697,237,35.7,0.788,-17.02,145.60,8/1/12
S177,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,993101,153113,471528,839988,521573,338304,19889,237,35.7,0.782,-17.02,145.58,8/1/12
S017,Savannas,-,Global_soil,ENA_ERP020652,4554250,513749,1166348,4040501,3387902,810633,158034,243,36.5,0.714,9.26,2.19,7/4/10
S181,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1167315,53583,452166,1113732,715149,401397,2814,236,35.2,0.892,-42.83,146.37,11/5/12
S186,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1164642,212626,534113,952016,630529,345045,23558,236,35.7,0.715,-43.09,146.65,11/14/14
S187,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1132673,38176,460074,1094497,672599,424208,2310,237,35.3,0.917,39.96,115.42,2012-10
S188,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,861213,142585,435699,718628,425514,307529,14415,238,35.8,0.784,42.38,128.09,2012-10
S190,Savannas,-,Global_soil,ENA_ERP020652,629797,96681,305191,533116,324606,221035,12525,237,35.7,0.796,-11.48,27.66,12/9/12
S193,Savannas,-,Global_soil,ENA_ERP020652,1134484,175933,558522,958551,575962,404669,22080,237,35.7,0.792,-11.48,27.66,12/14/12
S194,Savannas,-,Global_soil,ENA_ERP020652,952518,142444,430349,810074,522169,308936,21031,237,35.8,0.787,-19.88,29.45,4/23/13
S195,Savannas,-,Global_soil,ENA_ERP020652,570953,24857,243934,546096,327019,220502,1425,235,35.0,0.926,-19.93,29.62,4/24/13
S196,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,896553,128795,242913,767758,653640,155377,41259,240,36.1,0.763,36.04,-79.07,10/1/12
S197,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1182294,171348,337364,1010946,844930,219981,53965,239,36.0,0.779,35.98,-79.09,10/1/12
S199,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,787883,123901,385870,663982,402013,277787,15818,237,35.6,0.792,18.53,98.39,6/16/12
S203,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1589289,459001,737796,1130288,851493,329733,50938,230,35.1,0.642,5.41,116.10,11/17/12
S204,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,821993,26489,240343,795504,581650,215955,2101,238,35.4,0.905,-28.21,153.19,12/18/12
S208,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,733372,111656,249182,621716,484190,164910,27384,238,35.8,0.791,58.16,22.50,5/17/12
S020,Boreal_forests,-,Global_soil,ENA_ERP020652,2157839,274407,503341,1883432,1654498,325056,96122,241,36.4,0.742,43.38,132.95,5/27/10
S211,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,721241,113696,237212,607545,484029,155269,31753,236,35.6,0.793,30.46,78.17,10/9/12
S212,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1093245,166057,337286,927188,755959,220399,49170,237,35.7,0.787,30.45,78.15,10/9/12
S214,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,981715,43467,203052,938248,778663,165578,5993,236,35.1,0.921,30.35,77.92,10/10/12
S215,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,966185,40771,204215,925414,761970,169651,6207,236,35.1,0.924,30.57,77.30,10/15/12
S217,Savannas,-,Global_soil,ENA_ERP020652,591833,24956,124161,566877,467672,103304,4099,235,34.9,0.93,-18.33,30.02,4/12/13
S223,Savannas,-,Global_soil,ENA_ERP020652,1108348,171941,365521,936407,742827,240114,46534,236,35.6,0.788,-18.07,25.50,5/6/13
S231,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1090869,173582,341294,917287,749575,215589,47877,237,35.8,0.756,-0.06,114.01,8/15/13
S234,Boreal_forests,-,Global_soil,ENA_ERP020652,1137027,193539,373228,943488,763799,223845,44156,239,35.9,0.766,69.17,27.00,8/1/13
S235,Boreal_forests,-,Global_soil,ENA_ERP020652,750749,110753,217067,639996,533682,140477,34163,239,36.0,0.766,66.67,25.31,9/2/13
S236,Boreal_forests,-,Global_soil,ENA_ERP020652,1054513,37554,181610,1016959,872903,150086,6030,238,35.3,0.91,66.17,25.16,9/5/13
S238,Boreal_forests,-,Global_soil,ENA_ERP020652,1076317,170539,369103,905778,707214,238849,40285,238,35.9,0.782,68.97,20.94,8/6/13
S023,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,2299927,282750,500084,2017177,1799843,326829,109495,242,36.5,0.739,43.21,132.05,5/25/10
S243,Boreal_forests,-,Global_soil,ENA_ERP020652,1085302,166949,359969,918353,725333,236226,43206,238,35.8,0.782,67.86,19.48,8/13/13
S247,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,850999,132700,292586,718299,558413,192059,32173,237,35.7,0.791,37.75,-119.55,8/17/13
S248,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,835756,27489,147522,808267,688234,124969,4936,237,35.3,0.916,36.23,-112.07,8/17/13
S249,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,1140809,179714,381205,961095,759604,246468,44977,239,35.9,0.786,57.88,27.69,9/29/13
S251,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,966839,148999,301403,817840,665436,192534,40130,238,35.9,0.757,4.55,-52.21,11/27/13
S252,Moist_tropical_forests,-,Global_soil,ENA_ERP020652,1068342,159647,339826,908695,728516,221846,41667,239,35.9,0.776,4.57,-52.19,11/27/13
S258,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,770401,108094,225036,662307,545365,149308,32366,239,36.0,0.779,-50.45,-72.78,11/15/13
S260,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1016661,29132,146593,987529,870068,123906,6445,238,35.4,0.911,-49.38,-72.88,11/14/13
S261,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,1457597,212005,425438,1245592,1032159,275443,62010,239,36.0,0.78,-41.26,-71.29,11/4/13
S262,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,949784,29967,151421,919817,798363,127454,6000,238,35.4,0.908,-54.81,-68.48,11/12/13
S263,Southern_temperate_forests,-,Global_soil,ENA_ERP020652,766844,103521,217524,663323,549320,144126,30123,240,36.2,0.768,-54.85,-68.58,11/13/13
S268,Mediterrean,-,Global_soil,ENA_ERP020652,845913,119882,275324,726031,570589,185856,30414,239,36.0,0.784,33.52,-5.00,4/20/14
S269,Mediterrean,-,Global_soil,ENA_ERP020652,635701,25202,144517,610499,491184,122631,3316,235,35.0,0.924,33.40,-5.19,4/20/14
S027,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1090548,143128,265890,947420,824658,173489,50727,240,36.2,0.762,43.28,133.16,5/28/10
S029,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,928914,29431,156733,899483,772181,131995,4693,238,35.5,0.897,42.74,130.69,5/23/10
S030,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,908975,29555,279064,879420,629911,252068,2559,237,35.3,0.91,43.13,131.41,5/23/10
S031,Boreal_forests,-,Global_soil,ENA_ERP020652,994252,30539,134375,963713,859877,109701,5865,239,35.6,0.877,43.38,132.95,5/27/10
S032,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,1199145,47266,184287,1151879,1014858,143587,6566,239,35.6,0.864,43.10,131.56,5/21/10
S036,Dry_tropical_forests,-,Global_soil,ENA_ERP020652,437454,17691,108554,419763,328900,92936,2073,235,35.0,0.928,21.21,-87.19,9/29/10
S037,Boreal_forests,-,Global_soil,ENA_ERP020652,977119,30571,143433,946548,833686,118245,5383,239,35.5,0.892,43.29,142.60,6/11/10
S041,Temperate_coniferous_forests,-,Global_soil,ENA_ERP020652,1170238,32411,130380,1137827,1039858,105117,7148,240,35.8,0.867,24.16,121.29,6/22/10
S043,Mediterrean,-,Global_soil,ENA_ERP020652,574366,24350,122799,550016,451567,102408,3959,235,35.0,0.928,38.34,47.31,12/10/12
S044,Temperate_deciduous_forests,-,Global_soil,ENA_ERP020652,922873,28282,151810,894591,771063,128716,5188,238,35.5,0.898,37.43,49.10,12/10/12
