,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil6_CE_73_0_CHL_T9,0.249925,0.125358,5.504643,0.051376,0.697565,0.471498,0.211987,3.566065,0.903796,0.585623,0.010806,0.032011,0.050595,0.017332,0.013053,0.000000,0.122833,0.216277,0.026565,0.007532,0.000000,0.000000,0.000000,0.002718,2.590234,0.000000,0.167769,0.036932,0.027175,0.000000,0.000000,10.291811,0.000000,0.000000,0.004494,0.455236,0.551419,0.009736,0.113023,0.358454
Soil6_CE_73_7_CHL_T9,0.088087,0.052391,2.711314,0.012873,0.291153,0.208460,0.051419,2.643941,0.510143,0.242855,0.014537,0.023062,0.011271,0.020261,0.000700,0.000000,0.052778,0.107063,0.041803,0.023708,0.018593,0.002273,0.000000,0.001042,0.984923,0.000000,0.122902,0.037331,0.003130,0.003546,0.000000,5.362384,0.000000,0.000000,0.001153,0.190052,0.281001,0.003295,0.014978,0.095364
Soil9_CE_277_-10_CHL_T9,0.357432,0.199679,6.544554,0.021431,0.552801,0.759662,0.236390,3.716470,1.378373,0.979740,0.051886,0.158594,0.099142,0.022453,0.025911,0.000000,0.159722,0.451637,0.047853,0.006225,0.012344,0.000000,0.000000,0.000000,2.149740,0.000000,0.171214,0.087905,0.081404,0.003054,0.000000,11.992413,0.008513,0.000000,0.000000,0.324125,0.778348,0.046927,0.041106,0.350951
Soil9_CE_277_-13_CHL_T9,0.444431,0.159247,7.911260,0.032724,0.597709,0.797923,0.273875,4.521070,1.773193,1.102527,0.023542,0.164073,0.114980,0.039603,0.009534,0.000000,0.146897,0.504349,0.088710,0.000000,0.008009,0.008346,0.000000,0.000000,2.671458,0.000000,0.194068,0.097100,0.072752,0.002860,0.000000,13.725201,0.014081,0.000000,0.000000,0.387814,0.961233,0.062631,0.034645,0.375127
Soil9_CE_277_-16_CHL_T9,0.476687,0.207190,9.135325,0.024540,0.633988,0.897423,0.337472,5.244429,1.809325,1.276000,0.033571,0.168086,0.130883,0.032638,0.009325,0.000000,0.233706,0.635632,0.080061,0.000000,0.027571,0.000233,0.000000,0.000000,2.943755,0.000000,0.223939,0.021227,0.074724,0.000000,0.000000,14.346344,0.014356,0.000000,0.000000,0.459509,1.146098,0.055583,0.035828,0.507730
Soil9_CE_277_-20_CHL_T9,0.493807,0.142119,9.337329,0.023446,0.571126,0.855068,0.331100,5.234812,1.805010,1.220925,0.021384,0.149247,0.110617,0.049042,0.010574,0.000000,0.219349,0.659976,0.104211,0.000000,0.029455,0.000000,0.000000,0.000000,2.968660,0.000000,0.226948,0.038644,0.094991,0.000000,0.001973,13.159615,0.006775,0.000000,0.000000,0.420171,1.136449,0.070986,0.110911,0.437534
Soil9_CE_277_-28_CHL_T9,0.444679,0.272384,9.454121,0.035227,0.534551,0.942720,0.344429,4.964225,1.765677,1.300389,0.030546,0.189801,0.084897,0.045605,0.010030,0.000000,0.191633,0.593088,0.097268,0.000000,0.014885,0.000000,0.000000,0.000000,3.405962,0.000000,0.272050,0.037193,0.096693,0.000000,0.002875,13.704171,0.034732,0.000000,0.000000,0.438126,1.128375,0.099100,0.164190,0.622163
Soil9_CE_277_-2_CHL_T9,0.362822,0.261663,8.987362,0.017007,0.648765,0.799204,0.453804,4.981333,2.136722,1.271950,0.067172,0.388112,0.218647,0.017837,0.000000,0.000000,0.205429,0.444028,0.090927,0.027654,0.075620,0.000000,0.000000,0.000000,2.477448,0.000000,0.230718,0.100993,0.159564,0.000000,0.000000,12.978623,0.010923,0.000000,0.000000,0.439977,0.822198,0.051160,0.168759,0.853267
Soil9_CE_277_-5_CHL_T9,0.438515,0.172909,7.029976,0.000000,0.597399,0.739512,0.289457,4.553286,1.906844,1.042025,0.051168,0.218810,0.151555,0.005342,0.005342,0.000000,0.174437,0.404676,0.034982,0.012423,0.022087,0.000000,0.000000,0.000000,2.337644,0.000000,0.161729,0.073939,0.112300,0.002609,0.000000,12.718270,0.005466,0.000000,0.000000,0.351184,0.787550,0.058634,0.037417,0.403322
Soil9_CE_277_-75_CHL_T9,0.484458,0.299611,9.422907,0.020599,0.689043,0.853871,0.521839,4.584727,1.763330,1.122997,0.080954,0.153060,0.106848,0.043450,0.015480,0.000000,0.294264,0.543617,0.030503,0.017591,0.027565,0.000598,0.000000,0.000000,3.492181,0.000000,0.242599,0.035956,0.135099,0.005541,0.000000,15.041040,0.021989,0.000000,0.000000,0.456664,0.949373,0.046440,0.133305,0.661706
Soil9_CE_277_-7_CHL_T9,0.362198,0.146236,6.949602,0.005208,0.618518,0.624216,0.219849,4.140697,1.521506,0.944508,0.065146,0.222881,0.138850,0.000000,0.006154,0.000000,0.182820,0.487931,0.049851,0.000000,0.004992,0.002393,0.000000,0.000000,2.138736,0.000000,0.222562,0.073306,0.114996,0.000000,0.000000,12.568929,0.007294,0.000000,0.000000,0.351941,0.740569,0.032710,0.058148,0.381060
Soil9_CE_277_0_CHL_T9,0.465578,0.430395,9.710706,0.044714,0.728530,0.846322,0.516717,5.345549,2.528782,1.362206,0.101992,0.412988,0.244485,0.022131,0.021060,0.023796,0.220796,0.504569,0.046427,0.000000,0.000000,0.000988,0.000000,0.000000,2.501892,0.000000,0.213621,0.059598,0.084716,0.000000,0.000000,13.670740,0.014278,0.000000,0.000000,0.496157,0.835174,0.049259,0.238976,0.908717
Soil9_CE_277_4_CHL_T9,0.304738,0.210868,7.567189,0.007256,0.660605,0.657317,0.305701,4.513961,1.567087,1.011450,0.061877,0.181652,0.097577,0.038206,0.026302,0.000000,0.152255,0.270500,0.047967,0.045348,0.034011,0.000000,0.000000,0.000000,1.671806,0.000000,0.169941,0.058170,0.123233,0.001258,0.001213,10.787613,0.018933,0.000000,0.000000,0.387611,0.621912,0.014285,0.117349,0.475223
