Well	Nitrite_input	Nitrate_input	Ammonium_input	Soil	Soil_ID	Sample_type	Titration_type	Unit	Concentration_M	Added_ul	Expected_pH	Chloramphenicol	Cycloheximide	Time_point	Ammonia_OD650	Ammonia_mM	NH4_mM	Time_minutes	Time_hours	Time_days	H_mol	Soil_name	Depth	Soil_pH	Moisture_percent	Volume	H_Molarity	H_mM	Time	mcf	Correction_factor_NH4	Replicate	pH	Ave_UnitT0_NH4_mM	Ave_NN_NH4_mM	Correction_factor_by_Unit
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T1	0.5011	0.2109624308	0.5554750782	255	4.25	0.1770833333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T1	1.126642772	0.9348312341	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T2	0.5108	0.2151746063	0.5669838204	495	8.25	0.34375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T2	1.126642772	0.9355207089	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T3	0.5021	0.2113966048	0.5425478901	995	16.58333333	0.6909722222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T3	1.126642772	0.9112002444	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T4	0.5199	0.2191276301	0.5818843403	1350	22.5	0.9375	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T4	1.126642772	0.9427863465	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T5	0.53725	0.2266681873	0.5843910943	1720	28.66666667	1.194444444	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T5	1.126642772	0.9153491321	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T6	0.5519	0.2330391206	0.607920209	2460	41	1.708333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T6	1.126642772	0.9261716958	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T7	0.5152	0.2170857897	0.537167503	3180	53	2.208333333	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T7	1.126642772	0.8785208885	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T8	0.5317	0.2242555429	0.549975724	3895	64.91666667	2.704861111	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T8	1.126642772	0.870711119	3	4.263263263	0.5274228389	0.5738179603	1.087965704
H09	0	0	0	Soil1	Soil1_Acidic4	No_Nitrate	No_Nitrate	0	0	20	4.18	CHL	None	Soil1_T9	0.5738	0.2425694657	0.564958652	5360	89.33333333	3.722222222	0	Soil1_Acidic4_pH4.7	0_10cm	4.703	25.32855436	1.915292712	0	0	T9	1.126642772	0.8269024696	3	4.263263263	0.5274228389	0.5738179603	1.087965704
G03	0	0	0	Soil2	Soil2_Acidic12	No_Nitrate	No_Nitrate	0	0	20	4.46	None	None	Soil2_T0	0.01555	0.006627281872	0.01898027102	0	0	0	0	Soil2_Acidic12_pH5.09	0_10cm	5.094	25.1497006	1.913772455	0	0	T0	1.125748503	1.017619874	2	4.543543544	0.5851345885	0.584487437	0.9988940125
