,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil14_CE_251_N2_-2_None_T9,nan,nan,nan,nan,nan,nan,nan,14.197,26.740,19.542,2.154,6.168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,6.793,50.710
Soil14_CE_251_N2_-5_None_T9,nan,nan,nan,nan,nan,nan,nan,17.009,33.842,26.317,2.371,5.760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.438,nan,nan,nan,nan,nan,nan,1.192,nan,nan,nan,nan,nan,nan,12.813,62.178
Soil14_CE_251_N2_-8_None_T9,nan,nan,nan,nan,nan,nan,nan,24.561,39.718,34.296,3.021,10.287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.265,nan,nan,nan,nan,nan,nan,0.096,nan,nan,nan,nan,nan,nan,12.025,83.253
Soil14_CE_251_N2_-90_None_T9,nan,nan,nan,nan,nan,nan,nan,0.519,2.863,0.694,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.000,2.166
Soil14_CE_251_N2_0_None_T9,nan,nan,nan,nan,nan,nan,nan,20.594,42.481,35.951,3.472,7.830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.066,nan,nan,nan,nan,nan,nan,0.192,nan,nan,nan,nan,nan,nan,13.584,85.902
Soil14_CE_251_N2_14_None_T9,nan,nan,nan,nan,nan,nan,nan,2.112,5.904,3.451,0.000,0.206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.329,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,0.753,10.264
Soil14_CE_251_N2_22_None_T9,nan,nan,nan,nan,nan,nan,nan,1.075,3.911,1.065,0.000,0.411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.199,nan,nan,nan,nan,nan,nan,1.766,nan,nan,nan,nan,nan,nan,2.259,4.253
Soil14_CE_251_N2_2_None_T9,nan,nan,nan,nan,nan,nan,nan,16.805,31.260,32.041,3.666,6.597,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.163,nan,nan,nan,nan,nan,nan,2.287,nan,nan,nan,nan,nan,nan,17.322,70.830
Soil14_CE_251_N2_5_None_T9,nan,nan,nan,nan,nan,nan,nan,8.073,13.357,20.225,2.215,3.851,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.199,nan,nan,nan,nan,nan,nan,0.287,nan,nan,nan,nan,nan,nan,12.050,42.425
Soil14_CE_251_N2_9_None_T9,nan,nan,nan,nan,nan,nan,nan,2.860,8.454,5.548,0.435,0.411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.065,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,nan,nan,nan,3.052,12.823
