,K00360,K00361,K00362,K00363,K00366,K00367,K00368,K00370,K00371,K00372,K00373,K00374,K00376,K00844,K02164,K02305,K02448,K02567,K02568,K02570,K02571,K03385,K04017,K04018,K04561,K04747,K04748,K05601,K10534,K12264,K12265,K12266,K15864,K15876,K15877,K17877,K19339,K19343,K26138,K26139
Soil14_CE_251_N2_-90_CHL_T9,nan,nan,45.985,36.546,nan,nan,nan,64.878,64.975,nan,60.221,61.491,nan,nan,nan,nan,nan,38.753,37.078,31.213,nan,51.007,47.875,44.025,nan,nan,nan,34.067,nan,38.750,39.034,40.942,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_0_CHL_T9,nan,nan,19.929,16.117,nan,nan,nan,28.021,25.935,nan,27.878,26.010,nan,nan,nan,nan,nan,18.081,14.920,14.578,nan,19.987,19.674,19.378,nan,nan,nan,16.564,nan,18.234,19.412,17.208,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_14_CHL_T9,nan,nan,33.405,30.534,nan,nan,nan,47.036,47.980,nan,48.068,50.481,nan,nan,nan,nan,nan,27.044,25.448,29.532,nan,27.528,34.919,36.515,nan,nan,nan,27.625,nan,29.524,34.796,32.826,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_22_CHL_T9,nan,nan,70.707,72.948,nan,nan,nan,104.235,104.217,nan,106.974,116.057,nan,nan,nan,nan,nan,60.763,56.281,60.517,nan,80.279,76.201,77.888,nan,nan,nan,56.447,nan,61.339,62.365,68.554,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_2_CHL_T9,nan,nan,20.195,18.344,nan,nan,nan,23.841,28.874,nan,24.795,28.751,nan,nan,nan,nan,nan,14.307,10.486,13.981,nan,18.272,11.120,13.503,nan,nan,nan,12.171,nan,15.739,18.155,18.795,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_5_CHL_T9,nan,nan,20.689,18.423,nan,nan,nan,28.536,23.571,nan,26.530,30.733,nan,nan,nan,nan,nan,13.319,17.065,11.939,nan,15.572,20.736,16.584,nan,nan,nan,11.974,nan,15.334,12.189,17.526,nan,nan,nan,nan,nan,nan,nan,nan
Soil14_CE_251_N2_9_CHL_T9,nan,nan,22.755,17.902,nan,nan,nan,34.423,35.023,nan,31.356,32.553,nan,nan,nan,nan,nan,18.502,27.773,22.567,nan,25.315,27.285,21.847,nan,nan,nan,20.957,nan,22.019,21.748,21.040,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_-100_CHL_T9,nan,nan,79.267,91.933,nan,nan,nan,116.818,115.452,nan,120.680,132.471,nan,nan,nan,nan,nan,65.757,58.561,65.973,nan,84.643,79.640,78.770,nan,nan,nan,65.358,nan,70.007,74.559,71.031,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_-65_CHL_T9,nan,nan,80.689,78.742,nan,nan,nan,113.745,118.556,nan,110.730,135.508,nan,nan,nan,nan,nan,62.243,61.111,70.624,nan,88.582,93.319,88.789,nan,nan,nan,64.724,nan,84.578,69.776,76.406,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_0_CHL_T9,nan,nan,51.484,60.460,nan,nan,nan,73.014,72.750,nan,74.127,64.944,nan,nan,nan,nan,nan,41.421,37.087,39.414,nan,45.077,65.151,53.698,nan,nan,nan,43.392,nan,46.851,47.291,51.273,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_12_CHL_T9,nan,nan,42.871,49.104,nan,nan,nan,61.717,60.569,nan,62.060,55.196,nan,nan,nan,nan,nan,29.984,26.612,37.745,nan,44.288,44.655,39.436,nan,nan,nan,30.685,nan,40.328,36.755,35.932,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_16_CHL_T9,nan,nan,34.427,28.917,nan,nan,nan,45.760,53.326,nan,48.570,49.806,nan,nan,nan,nan,nan,27.807,32.354,30.304,nan,40.061,30.943,31.799,nan,nan,nan,28.442,nan,34.883,30.513,33.385,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_20_CHL_T9,nan,nan,43.558,52.494,nan,nan,nan,68.580,59.494,nan,60.921,67.236,nan,nan,nan,nan,nan,40.372,35.913,33.190,nan,46.072,46.509,52.881,nan,nan,nan,33.430,nan,43.635,39.834,44.890,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_22_CHL_T9,nan,nan,47.524,54.804,nan,nan,nan,73.539,66.669,nan,65.907,62.533,nan,nan,nan,nan,nan,40.443,34.107,33.300,nan,50.353,40.684,56.047,nan,nan,nan,44.768,nan,40.479,42.378,39.463,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_26_CHL_T9,nan,nan,49.424,46.475,nan,nan,nan,63.022,65.019,nan,61.063,65.142,nan,nan,nan,nan,nan,41.288,23.042,39.084,nan,50.861,54.898,45.245,nan,nan,nan,38.889,nan,42.423,43.183,44.157,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_30_CHL_T9,nan,nan,51.592,65.914,nan,nan,nan,80.978,81.619,nan,87.235,89.193,nan,nan,nan,nan,nan,44.519,49.862,47.148,nan,59.538,57.034,74.250,nan,nan,nan,49.280,nan,44.278,58.435,48.082,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_34_CHL_T9,nan,nan,77.825,88.086,nan,nan,nan,117.731,118.058,nan,118.898,108.451,nan,nan,nan,nan,nan,69.354,65.804,66.456,nan,79.960,84.997,81.560,nan,nan,nan,62.733,nan,70.309,73.200,77.146,nan,nan,nan,nan,nan,nan,nan,nan
Soil15_CE_251_N5_7_CHL_T9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_-100_CHL_T9,nan,nan,63.110,62.595,nan,nan,nan,99.176,95.740,nan,97.194,91.303,nan,nan,nan,nan,nan,54.183,45.935,40.137,nan,66.651,58.830,71.097,nan,nan,nan,50.313,nan,54.411,60.329,54.229,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_-7_CHL_T9,nan,nan,34.951,44.960,nan,nan,nan,64.437,60.740,nan,62.519,56.046,nan,nan,nan,nan,nan,30.936,31.998,39.308,nan,44.054,41.538,46.869,nan,nan,nan,31.590,nan,37.930,36.613,35.840,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_0_CHL_T9,nan,nan,41.994,40.641,nan,nan,nan,62.444,60.258,nan,50.025,65.724,nan,nan,nan,nan,nan,32.909,22.782,31.156,nan,45.238,54.232,35.755,nan,nan,nan,34.950,nan,34.507,34.514,35.340,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_11_CHL_T9,nan,nan,19.180,16.644,nan,nan,nan,27.386,31.299,nan,22.504,19.264,nan,nan,nan,nan,nan,17.615,16.686,17.970,nan,22.836,25.013,21.490,nan,nan,nan,14.452,nan,18.482,17.655,18.256,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_14_CHL_T9,nan,nan,46.589,45.653,nan,nan,nan,66.866,62.826,nan,66.631,54.371,nan,nan,nan,nan,nan,34.603,41.601,28.859,nan,35.832,48.415,54.082,nan,nan,nan,39.689,nan,43.797,41.320,40.013,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_18_CHL_T9,nan,nan,30.713,32.687,nan,nan,nan,43.652,43.288,nan,52.838,37.843,nan,nan,nan,nan,nan,24.132,25.116,33.357,nan,34.068,33.238,37.708,nan,nan,nan,25.314,nan,24.805,27.118,29.043,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_22_CHL_T9,nan,nan,50.685,38.071,nan,nan,nan,62.947,68.158,nan,55.568,53.666,nan,nan,nan,nan,nan,38.498,30.412,40.027,nan,44.017,56.943,49.513,nan,nan,nan,36.837,nan,36.187,40.284,39.090,nan,nan,nan,nan,nan,nan,nan,nan
Soil16_CE_251_N6_28_CHL_T9,nan,nan,71.762,64.340,nan,nan,nan,97.353,103.283,nan,107.104,107.370,nan,nan,nan,nan,nan,62.197,67.220,56.274,nan,70.683,85.198,82.453,nan,nan,nan,55.371,nan,65.382,71.487,60.615,nan,nan,nan,nan,nan,nan,nan,nan
